Year,Broadband_Subscriptions_Per_100,Mobile_Subscriptions_Per_100,Internet_Users,Internet_Usage_Percentage
1990,1.395817464,0.2478333876970166,240889.67814555747,0.026519733914358055
1991,1.395817464,0.4578431330684883,254629.30996731823,0.053946117606403034
1992,1.395817464,0.5898415790934877,274140.19766008493,0.09614768454076915
1993,1.395817464,0.8152673433894809,296839.6270452115,0.14420877941137844
1994,1.395817464,1.2367463288889295,375639.88153561286,0.2912973908025136
1995,1.395817464,1.92490089545847,518151.76460674335,0.6204322361336015
1996,1.395817464,3.15635813727521,902538.3296089746,1.3818946236441594
1997,1.395817464,4.485600412398783,1233036.0825558596,2.2999862068466994
1998,1.3393983064828971,6.585077228614547,1893463.9015915033,3.666030387185835
1999,1.3416708811753602,10.073225340326994,2598448.8082350916,5.511329896366337
2000,1.274009839427376,15.393756589780164,3810908.746026149,8.159136076536553
2001,1.3604032950529363,19.86664816073765,4755208.450642302,9.99781948601132
2002,1.6384646899587394,23.97966298175661,6239435.743707793,12.884329986101426
2003,2.1560896157602247,29.440124290664787,7380205.944523705,15.224778601148017
2004,2.973415635295041,35.63209056303846,8415377.589517845,17.59574890440079
2005,4.0817330019687,43.62383009156242,10302618.529297162,19.7516680982042
2006,5.332464781548311,52.798692468089904,10319250.589001715,22.181893782786858
2007,6.246375532131308,62.59441467914845,12736899.297210155,24.421449195939193
2008,7.473294290810809,71.81108703525433,14191772.093533559,27.124704426161355
2009,8.5861789047091,79.49271458825473,15986747.433736274,29.7446835962582
2010,9.174274532042299,86.65832422093395,18009294.644359566,32.87516385791493
2011,9.521252546605469,90.6664101567054,19223296.12405997,35.58446040718281
2012,10.171160394260642,95.90222835793446,21386617.85547208,38.53738515033232
2013,10.836381216700854,100.17101364186371,22790619.918530405,40.99804617035147
2014,11.382116551063344,102.31169754186415,25018577.994154442,44.05793063171147
2015,12.0815542612949,104.00670917238855,27164226.75415113,47.132041517491515
2016,12.596257058230387,104.26944082155998,29211323.414210144,49.8364069481059
2017,13.482898220708712,104.27318315804459,25502371.571731973,53.4124717757482
2018,20.440594518353322,121.37021667952675,16458389.785683049,71.51955571930439
2019,22.979530658234857,125.79320569845568,12919353.080145048,77.1734649850639
